TG Southee;bowler;right;pace;New Zealand;0;11;20;0;7;41;246;238;81;93;78;62;
TA Blundell;batter;right;spin;New Zealand;0;58;0;88;23;0;0;0;0;0;0;0;
HK Bennett;bowler;left;pace;New Zealand;0;0;0;0;0;0;45;76;45;0;11;7;
MS Chapman;allrounder;left;spin;New Zealand;0;91;15;0;55;21;0;0;0;0;0;0;
KA Jamieson;bowler;right;pace;New Zealand;0;0;1;0;0;30;88;210;50;42;33;4;
DP Conway;batter;left;pace;New Zealand;41;327;4;285;187;22;0;0;0;0;0;0;
WA Young;batter;right;spin;New Zealand;9;235;4;230;178;6;0;0;0;0;0;0;
DJ Mitchell;allrounder;right;pace;New Zealand;3;471;29;48;318;64;0;173;4;0;57;2;
MG Bracewell;allrounder;left;spin;New Zealand;0;166;25;5;145;109;10;458;43;26;168;35;
BM Tickner;bowler;right;pace;New Zealand;0;9;5;0;0;14;56;358;104;30;80;21;
DAJ Bracewell;bowler;right;pace;New Zealand;0;34;7;0;17;2;13;39;7;26;4;0;
FH Allen;batter;right;;New Zealand;18;107;0;356;91;1;0;0;0;0;0;0;
GD Phillips;batter;right;spin;New Zealand;0;143;18;2;169;62;0;106;0;0;17;0;
JA Duffy;bowler;right;pace;New Zealand;0;2;0;0;0;0;75;28;44;15;4;7;
D Cleaver;batter;right;spin;New Zealand;0;37;0;0;0;0;0;0;0;0;0;0;
AF Milne;bowler;right;pace;New Zealand;0;0;2;0;0;17;6;110;25;61;80;8;
HB Shipley;bowler;right;pace;New Zealand;0;4;7;0;8;22;106;133;44;60;43;18;
CJ Bowes;batter;right;pace;New Zealand;6;13;0;64;16;0;0;0;0;0;0;0;
R Ravindra;allrounder;left;spin;New Zealand;0;11;9;0;21;43;0;82;33;0;39;13;
CE McConchie;allrounder;right;spin;New Zealand;0;33;15;0;12;27;0;98;0;0;29;0;
BG Lister;bowler;right;pace;New Zealand;0;0;1;0;0;2;1;19;19;25;0;0;
SJ Myburgh;batter;left;spin;Netherlands;17;36;1;127;57;7;0;0;0;0;0;0;
MP O'Dowd;batter;right;spin;Netherlands;51;344;7;590;297;3;0;38;0;0;0;0;
BN Cooper;batter;left;pace;Netherlands;0;0;3;7;2;0;0;0;0;0;0;0;
BFW de Leede;allrounder;right;pace;Netherlands;7;509;15;112;408;38;61;442;100;17;139;21;
PM Seelaar;allrounder;right;spin;Netherlands;0;152;15;0;99;27;3;461;58;10;110;15;
SA Edwards;batter;right;;Netherlands;44;534;85;44;328;132;0;0;0;0;0;0;
Saqib Zulfiqar;allrounder;right;spin;Netherlands;1;97;38;0;35;79;0;160;0;0;80;0;
LV van Beek;bowler;right;pace;Netherlands;0;99;47;0;96;150;401;375;193;106;122;53;
T van der Gugten;bowler;right;pace;Netherlands;0;19;17;0;19;9;0;155;23;0;2;20;
FJ Klaassen;bowler;right;pace;Netherlands;0;7;14;0;12;36;313;195;89;110;80;58;
BD Glover;bowler;right;pace;Netherlands;0;7;16;0;2;21;26;231;40;8;75;53;
Musa Ahmed;batter;left;spin;Netherlands;16;169;5;90;92;2;0;0;0;0;0;0;
VJ Kingma;bowler;right;pace;Netherlands;0;1;12;0;2;6;293;125;75;57;51;44;
Vikramjit Singh;batter;left;pace;Netherlands;40;285;0;554;205;0;10;125;0;2;39;6;
MJG Rippon;allrounder;right;spin;Netherlands;0;44;10;0;78;13;0;100;7;0;38;5;
PRP Boissevain;bowler;right;spin;Netherlands;0;0;43;0;7;12;0;134;12;0;79;12;
A Dutt;bowler;right;spin;Netherlands;0;71;23;0;26;41;52;454;129;75;315;49;
C Floyd;bowler;right;spin;Netherlands;0;11;0;0;2;4;48;245;18;0;62;8;
CN Ackermann;allrounder;right;spin;Netherlands;17;151;7;49;58;0;13;59;15;11;141;28;
